"","accel_changes","closest_def_loc","closest_defender","closest_defender_angle","closest_defender_dist","closest_teammate","closest_teammate_angle","closest_teammate_dist","closest_teammate_loc","court_zone","game_clock","game_date","made","new_x","new_y","num_close_def","num_close_team","num_poss","other_shot","quarter","shooter","shooter_avg_vel","shooter_dist_to_ball","shooter_dist_traveled","shooter_team","shooter_vel_at_shot","shot_clock","shot_val","x_loc","y_loc"
"2970",109,"left","Isaiah Thomas",0.512606208824858,4.59054584755452,"Elfrid Payton",1.54865598618761,5.37841611911909,"left",3,55853,"2015-11-29",TRUE,26.45744,32.12956,1,0,4,0,1,"Nikola Vucevic",3.73818866728078,1.07898214721097,37.3818866728077,0,5.1007130996558,12.46,3,26.45744,32.12956
"2971",88,"left","Jared Sullinger",0.114239680214204,18.8663871902015,"Elfrid Payton",1.29679737755913,17.0377743565819,"left",3,50444,"2015-11-29",FALSE,32.76731,5.40566,0,0,5,1,1,"Nikola Vucevic",5.98509014183857,1.49215016791206,59.8509014183857,0,6.36314264436221,21.19,3,32.76731,5.40566
"2972",64,"right","Elfrid Payton",0.408636238854041,3.25940312015866,"Amir Johnson",0.449341507757728,5.65451648381187,"right",3,46136,"2015-11-29",TRUE,35.52738,25.20859,1,0,2,0,1,"Isaiah Thomas",4.53550030548369,1.81389750099062,45.3550030548369,1,2.95445758558156,15.92,3,58.47262,24.79141
"2973",75,"left","Jared Sullinger",0.101927665143839,6.3986640228879,"Elfrid Payton",0.775808515671052,14.7249554831415,"left",3,30652,"2015-11-29",FALSE,20.77251,13.03045,0,0,2,0,1,"Nikola Vucevic",4.57625170676224,0.476177241476325,45.7625170676224,1,1.89676029719098,12.57,3,20.77251,13.03045
"2974",57,"right","Victor Oladipo",0.760531553085817,2.12879414150361,"Jonas Jerebko",1.13213607652027,17.463141903578,"right",3,29352,"2015-11-29",TRUE,23.42303,32.65505,1,0,3,0,1,"Avery Bradley",9.2961047787608,3.81541741272173,92.961047787608,0,1.78535598691126,13.5,3,70.57697,17.34495
"2975",115,"left","Isaiah Thomas",0.0460778886581887,1.39004371388097,"Andrew Nicholson",0.52216614669237,8.72473202680747,"left",3,45999,"2015-11-29",TRUE,32.85317,18.85466,1,0,4,0,2,"Victor Oladipo",6.99386124298866,1.76618720935806,69.9386124298866,1,1.93229004357521,24,3,32.85317,18.85466
"2976",45,"right","Jae Crowder",0.724215282295531,3.7243997235125,"Tobias Harris",0.369497272280453,13.3151395327612,"right",2,43252,"2015-11-29",FALSE,22.22206,20.4659,1,0,3,1,4,"Victor Oladipo",6.06407706665258,1.74875528307993,60.6407706665258,1,14.509314667654,6.42,2,71.77794,29.5341
"2977",75,"left","Nikola Vucevic",0.0894380737756645,2.39298323792709,"Jae Crowder",0.800372402901759,13.3843532868234,"left",2,35152,"2015-11-29",FALSE,11.93852,30.01534,2,0,5,1,4,"Jared Sullinger",2.82363144548441,1.37724778133784,28.2363144548441,0,6.39576299201274,8.34,2,11.93852,30.01534
"2978",116,"left","Amir Johnson",0.282261420401776,3.89498861041981,"Tobias Harris",0.362968951508201,4.50757424476847,"left",2,35020,"2015-11-29",FALSE,10.99311,24.42361,1,1,4,1,4,"Nikola Vucevic",9.41462920671004,5.10213970428094,94.1462920671004,1,1.03436746976113,24,2,10.99311,24.42361
"2979",88,"left","Markieff Morris",0.412041922251689,2.36034753072508,"DeMarre Carroll",1.10279590346065,13.6824246377972,"left",2,63812,"2015-11-29",FALSE,10.19789,15.7762,1,0,4,1,1,"Luis Scola",6.61145814182495,1.27028859909864,66.1145814182495,0,4.76973846243165,16.51,2,10.19789,15.7762
