"","made","closest_def_locleft","closest_def_locright","closest_teammate_locleft","closest_teammate_locright","court_zone","other_shot","quarter","shot_val","accel_changes","closest_defender_angle","closest_defender_dist","closest_teammate_angle","closest_teammate_dist","game_clock","num_close_def","num_close_team","num_poss","shooter_avg_vel","shooter_dist_to_ball","shooter_dist_traveled","shooter_team","shooter_vel_at_shot","shot_clock","x_loc","y_loc"
"635","2","0","1","0","1","3","0","1","3",-1.54412824164745,-0.683422541836155,-0.324497019683971,-0.30914588006634,-0.422585647657677,0.201108910803081,0.395940124140395,-0.306274385338241,-0.413923215143938,-0.965631833894657,0.0703089625816033,-0.965631833894657,-0.998491374702377,-0.92474168339099,-0.563111669461403,0.884210708372607,-1.23312549979824
"3334","1","1","0","1","0","2","1","1","2",-0.845744662938028,0.966366700510513,-0.737488769276065,0.707927296537801,-0.615955541128335,0.203080690129003,1.75798910642883,-0.306274385338241,-1.15093312363336,1.33459595996414,-0.21283805808985,1.33459595996414,1.00123599090552,0.660946333053662,0.430816771481559,-0.978485820319703,-0.672594519152049
"2003","2","0","1","0","1","2","0","4","2",1.94778965189967,-0.234605882048934,-0.484055492260127,-0.557261235925558,0.0363104042956271,0.506255084322822,0.395940124140395,-0.306274385338241,-1.15093312363336,1.14873939543603,-0.00796157296383606,1.14873939543602,1.00123599090552,-0.108814658934497,-0.351457401798933,1.12786357188915,-0.993366179644909
"2398","1","1","0","1","0","3","0","1","3",0.109938128980133,-0.844810956930464,1.89934058573611,-0.258038182402744,0.395830837549355,-1.43434881171653,-0.966108858148045,-0.306274385338241,-0.413923215143938,-0.903219427682147,0.924389287267815,-0.903219427682147,-0.998491374702377,-1.04540778382583,-0.830642663786766,-0.815360521199572,1.56493196542469
"291","2","1","0","1","0","3","0","1","3",-2.38953994219044,-0.177827015360606,1.0791377274459,-0.118112102108628,-0.143032344944756,-0.427728820166695,-0.966108858148045,-0.306274385338241,2.53411641881377,-0.240672324711156,-1.03118003700145,-0.240672324711156,1.00123599090552,-0.549401358460026,-1.3419993744593,-0.571797636636722,1.14101966457687
"1477","2","0","1","0","1","3","0","2","3",1.13913498181508,-0.799125969595571,-0.446451656349667,-0.41049949324541,-1.65826557479747,0.637724803162011,0.395940124140395,2.88160443119665,-0.413923215143938,0.992140789641424,-0.620420901315587,0.99214078964142,1.00123599090552,-0.593513050056075,1.76508527482577,0.476944696208824,0.466861437700279
"2229","2","1","0","1","0","2","1","1","2",-0.735473571562856,-0.969281988264853,-0.297081507714483,-0.430919290696382,-0.210851535456312,0.302469026422108,0.395940124140395,-0.306274385338241,0.323086693345488,1.44440142367583,-0.82251473639412,1.44440142367583,1.00123599090552,1.97001349338099,1.05900663790377,-1.0777424221281,0.560837755439247
"4672","1","0","1","0","1","2","1","1","2",1.91103262144128,2.46792823223846,-1.06485741685971,-1.11106639126356,-1.2406033703048,1.35747754845674,0.395940124140395,-0.306274385338241,-1.15093312363336,0.676978804724877,3.10323650470209,0.676978804724872,1.00123599090552,-1.05886748449945,-0.322672421396837,1.27892972803735,0.750835771312119
"4831","1","1","0","1","0","3","1","4","3",0.330480311730478,-0.91484163533056,0.220576927285178,-0.797626762361622,0.355437300715053,0.430581391273916,-0.966108858148045,-0.306274385338241,0.323086693345488,1.70577422759347,0.592324203104834,1.70577422759343,1.00123599090552,0.858203882089103,0.720359809643818,-0.41561609517207,-1.15205799359744
"3437","1","1","0","1","0","3","0","3","3",-0.184118114686993,-1.06759343716297,0.397061603424835,-0.295943680072955,1.64172935613213,1.14836235724272,-0.966108858148045,-0.306274385338241,-0.413923215143938,0.147208449391239,-0.442282971669551,0.147208449391239,1.00123599090552,-0.512770625924918,-1.41650167667648,-0.243857070048021,0.0989951057903975
